Date,Price,EMA_12,EMA_26,MACD,Signal,Histogram,Prev_MACD,Prev_Histogram,Category
2024-11-18,10620,10756.409159627397,10981.435735643256,-225.02657601585815,-165.72949353244334,-59.29708248341481,-229.13976948051823,-78.23454656892861,6. 하락추세 / 일시적 반등
2024-11-19,10700,10747.730827377029,10960.588644114125,-212.85781673709607,-175.1551581733739,-37.70265856372217,-225.02657601585815,-59.29708248341481,6. 하락추세 / 일시적 반등
2024-11-20,10740,10746.541469319025,10944.248744550116,-197.70727523109053,-179.66558158491725,-18.041693646173286,-212.85781673709607,-37.70265856372217,6. 하락추세 / 일시적 반등
2024-11-21,10710,10740.919704808406,10926.896985694551,-185.9772808861453,-180.92792144516287,-5.0493594409824425,-197.70727523109053,-18.041693646173286,9. 분류 미정
2024-11-22,10870,10760.778211760959,10922.682394161622,-161.90418240066356,-177.123173636263,15.218991235599447,-185.9772808861453,-5.0493594409824425,9. 분류 미정
2024-11-25,11450,10866.812333028503,10961.742957557057,-94.93062452855338,-160.6846638147211,65.75403928616771,-161.90418240066356,15.218991235599447,9. 분류 미정
2024-11-26,11540,10970.379666408733,11004.57681255283,-34.19714614409713,-135.3871602805963,101.19001413649917,-94.93062452855338,65.75403928616771,9. 분류 미정
2024-11-27,11600,11067.244333115083,11048.682233845213,18.562099269869577,-104.59730837050313,123.1594076403727,-34.19714614409713,101.19001413649917,1. 상승 추세 / 추세 확대중
2024-11-28,11700,11164.591358789685,11096.927994301122,67.66336448856237,-70.14517379869004,137.80853828725242,18.562099269869577,123.1594076403727,1. 상승 추세 / 추세 확대중
2024-11-29,11720,11250.03884205281,11143.081476204743,106.95736584806764,-34.7246658693385,141.68203171740615,67.66336448856237,137.80853828725242,1. 상승 추세 / 추세 확대중
2024-12-02,11840,11340.802097121608,11194.705070559947,146.09702656166155,1.4396726168615102,144.65735394480004,106.95736584806764,141.68203171740615,1. 상승 추세 / 추세 확대중
2024-12-03,12060,11451.447928333668,11258.80099125921,192.64693707445804,39.681125508380816,152.9658115660772,146.09702656166155,144.65735394480004,1. 상승 추세 / 추세 확대중
2024-12-04,11310,11429.686708590027,11262.593510425195,167.09319816483185,65.16354003967102,101.92965812516083,192.64693707445804,152.9658115660772,2. 상승 추세 / 눌림목
2024-12-05,11080,11375.88875342233,11249.068065208514,126.82068821381654,77.49496967450013,49.32571853931641,167.09319816483185,101.92965812516083,2. 상승 추세 / 눌림목
2024-12-06,10840,11293.444329818894,11218.76672704492,74.67760277397429,76.93149629439496,-2.253893520420675,126.82068821381654,49.32571853931641,9. 분류 미정
2024-12-09,10650,11194.452894462142,11176.635858374926,17.817036087215456,65.10860425295907,-47.29156816574361,74.67760277397429,-2.253893520420675,9. 분류 미정
2024-12-10,10930,11153.767833775659,11158.36653553234,-4.598701756680384,51.16714305103118,-55.76584480771157,17.817036087215456,-47.29156816574361,3. 뚜렷한 추세 없음 / 추세 확대
2024-12-11,11200,11160.880474733249,11161.450495863277,-0.5700211300281808,40.81971021481931,-41.38973134484749,-4.598701756680384,-55.76584480771157,4. 뚜렷한 추세 없음 / 눌림목
2024-12-12,11410,11199.206555543518,11179.861570243775,19.344985299743712,36.52476523180419,-17.179779932060477,-0.5700211300281808,-41.38973134484749,2. 상승 추세 / 눌림목
2024-12-13,11260,11208.559393152207,11185.797750225718,22.761642926489003,33.77214077074115,-11.01049784425215,19.344985299743712,-17.179779932060477,2. 상승 추세 / 눌림목
2024-12-16,11350,11230.319486513406,11197.960879838627,32.35860667477937,33.4894339515488,-1.1308272767694305,22.761642926489003,-11.01049784425215,9. 분류 미정
2024-12-17,11240,11231.808796280575,11201.07488873947,30.73390754110551,32.93832866946014,-2.2044211283546318,32.35860667477937,-1.1308272767694305,9. 분류 미정
2024-12-18,11240,11233.06898146818,11203.958230314323,29.110751153855745,32.17281316633926,-3.0620620124835156,30.73390754110551,-2.2044211283546318,9. 분류 미정
2024-12-19,11120,11215.673753549998,11197.739102142892,17.934651407105775,29.325180814492565,-11.39052940738679,29.110751153855745,-3.0620620124835156,9. 분류 미정
2024-12-20,11260,11222.493176080767,11202.351020502678,20.142155578088932,27.48857576721184,-7.3464201891229095,17.934651407105775,-11.39052940738679,2. 상승 추세 / 눌림목
2024-12-23,11350,11242.10961052988,11213.287981946924,28.82162858295669,27.755186330360814,1.066442252595877,20.142155578088932,-7.3464201891229095,9. 분류 미정
2024-12-24,11350,11258.708131986821,11223.414798099004,35.293333887817425,29.262815841852138,6.030518045965287,28.82162858295669,1.066442252595877,1. 상승 추세 / 추세 확대중
2024-12-26,11340,11271.214573219619,11232.050738980559,39.163834239059724,31.243019521293657,7.920814717766067,35.293333887817425,6.030518045965287,1. 상승 추세 / 추세 확대중
2024-12-27,11050,11237.181561955062,11218.565499056072,18.616062898989185,28.717628196832763,-10.101565297843578,39.163834239059724,7.920814717766067,9. 분류 미정
2024-12-30,11040,11206.8459370389,11205.33842505192,1.5075119869798073,23.275604954862175,-21.768092967882367,18.616062898989185,-10.101565297843578,3. 뚜렷한 추세 없음 / 추세 확대
2025-01-02,11330,11225.792715955991,11214.572615788815,11.220100167176497,20.86450399732504,-9.644403830148544,1.5075119869798073,-21.768092967882367,4. 뚜렷한 추세 없음 / 눌림목
2025-01-03,11550,11275.67075965507,11239.419088693347,36.25167096172299,23.941937390204632,12.309733571518361,11.220100167176497,-9.644403830148544,1. 상승 추세 / 추세 확대중
2025-01-06,11730,11345.567565861982,11275.758415456803,69.80915040517903,33.11537999319951,36.693770411979514,36.25167096172299,12.309733571518361,1. 상승 추세 / 추세 확대중
2025-01-07,11620,11387.787940344753,11301.257792089633,86.53014825512037,43.79833364558368,42.731814609536684,69.80915040517903,36.693770411979514,1. 상승 추세 / 추세 확대중
2025-01-08,11670,11431.205180291714,11328.572029712623,102.6331505790913,55.56529703228521,47.0678535468061,86.53014825512037,42.731814609536684,1. 상승 추세 / 추세 확대중
2025-01-09,11490,11440.250537169912,11340.529657141316,99.72088002859527,64.39641363154723,35.32446639704804,102.6331505790913,47.0678535468061,2. 상승 추세 / 눌림목
2025-01-10,11610,11466.365839143771,11360.490423278996,105.87541586477528,72.69221407819285,33.18320178658243,99.72088002859527,35.32446639704804,2. 상승 추세 / 눌림목
2025-01-13,11680,11499.232633121652,11384.157799332404,115.07483378924735,81.16873802040375,33.9060957688436,105.87541586477528,33.18320178658243,1. 상승 추세 / 추세 확대중
2025-01-14,11730,11534.73530494909,11409.775740122597,124.95956482649308,89.92690338162163,35.03266144487145,115.07483378924735,33.9060957688436,1. 상승 추세 / 추세 확대중
2025-01-15,11920,11594.006796495385,11447.570129743146,146.43666675223903,101.22885605574511,45.20781069649392,124.95956482649308,35.03266144487145,1. 상승 추세 / 추세 확대중
2025-01-16,11930,11645.698058573018,11483.305675688098,162.39238288492015,113.46156142158013,48.930821463340024,146.43666675223903,45.20781069649392,1. 상승 추세 / 추세 확대중
2025-01-17,12030,11704.821434177169,11523.801551563054,181.01988261411498,126.97322566008711,54.04665695402787,162.39238288492015,48.930821463340024,1. 상승 추세 / 추세 확대중
2025-01-20,12020,11753.31044430376,11560.556992188012,192.75345211574677,140.12927095121904,52.62418116452773,181.01988261411498,54.04665695402787,2. 상승 추세 / 눌림목
2025-01-21,11950,11783.570375949335,11589.404622396307,194.16575355302848,150.93656747158093,43.22918608144755,192.75345211574677,52.62418116452773,2. 상승 추세 / 눌림목
2025-01-22,11890,11799.944164264822,11611.670946663247,188.2732176015743,158.4038974975796,29.86932010399468,194.16575355302848,43.22918608144755,2. 상승 추세 / 눌림목
2025-01-23,11750,11792.26044668562,11621.917543206711,170.34290347890783,160.79169869384526,9.551204785062566,188.2732176015743,29.86932010399468,2. 상승 추세 / 눌림목
2025-01-24,11860,11802.681916426292,11639.553280746955,163.1286356793371,161.25908609094364,1.869549588393454,170.34290347890783,9.551204785062566,9. 분류 미정
2025-01-31,11890,11816.115467745325,11658.104889580514,158.0105781648108,160.6093845057171,-2.598806340906293,163.1286356793371,1.869549588393454,9. 분류 미정
2025-02-03,11540,11773.636165015276,11649.356379241217,124.27978577405884,153.34346475938545,-29.063678985326618,158.0105781648108,-2.598806340906293,9. 분류 미정
2025-02-04,11960,11802.307524243695,11672.367017815941,129.94050642775437,148.66287309305923,-18.72236666530486,124.27978577405884,-29.063678985326618,2. 상승 추세 / 눌림목
2025-02-05,11700,11786.567905129281,11674.41390538513,112.1539997441505,141.3610984232775,-29.207098679127,129.94050642775437,-18.72236666530486,9. 분류 미정
2025-02-06,11660,11767.095919724776,11673.346208689936,93.74971103483949,131.8388209455899,-38.08910991075041,112.1539997441505,-29.207098679127,9. 분류 미정
2025-02-07,11680,11753.696547459425,11673.839082120312,79.85746533911333,121.44254982429459,-41.585084485181255,93.74971103483949,-38.08910991075041,9. 분류 미정
2025-02-10,11670,11740.820155542591,11673.554705666955,67.26544987563648,110.60712983456297,-43.34167995892649,79.85746533911333,-41.585084485181255,9. 분류 미정
2025-02-11,11690,11733.0016700745,11674.772875617551,58.22879445694889,100.13146275904016,-41.90266830209127,67.26544987563648,-43.34167995892649,2. 상승 추세 / 눌림목
2025-02-12,11590,11711.001413139962,11668.493403349585,42.5080097903774,88.60677216530762,-46.09876237493022,58.22879445694889,-41.90266830209127,9. 분류 미정
2025-02-13,11310,11649.308888041507,11641.938336434801,7.370551606705703,72.35952805358724,-64.98897644688154,42.5080097903774,-46.09876237493022,3. 뚜렷한 추세 없음 / 추세 확대
2025-02-14,11160,11574.030597573583,11606.239200402593,-32.20860282901049,51.4459018770677,-83.65450470607819,7.370551606705703,-64.98897644688154,5. 하락추세 / 추세 확대중
2025-02-17,11200,11516.48742871611,11576.14740778018,-59.659979064070285,29.224725688840103,-88.88470475291038,-32.20860282901049,-83.65450470607819,5. 하락추세 / 추세 확대중
2025-02-18,11070,11447.797055067476,11538.65500720387,-90.85795213639358,5.208190123793368,-96.06614226018695,-59.659979064070285,-88.88470475291038,5. 하락추세 / 추세 확대중
2025-02-19,11130,11398.90520044171,11508.38426592951,-109.47906548779974,-17.72926099852526,-91.74980448927448,-90.85795213639358,-96.06614226018695,6. 하락추세 / 일시적 반등
2025-02-20,11400,11399.073631142985,11500.355801786583,-101.28217064359887,-34.439842927539985,-66.84232771605889,-109.47906548779974,-91.74980448927448,6. 하락추세 / 일시적 반등
2025-02-21,11460,11408.446918659449,11497.366483135726,-88.91956447627672,-45.335787237287335,-43.583777238989384,-101.28217064359887,-66.84232771605889,6. 하락추세 / 일시적 반등
2025-02-24,11380,11404.070469634918,11488.672669570116,-84.60219993519786,-53.18906977686944,-31.41313015832842,-88.91956447627672,-43.583777238989384,6. 하락추세 / 일시적 반등
2025-02-25,11430,11408.059628152623,11484.326545898255,-76.26691774563187,-57.80463937062193,-18.462278375009944,-84.60219993519786,-31.41313015832842,6. 하락추세 / 일시적 반등
2025-02-26,11430,11411.435069975296,11480.3023573132,-68.86728733790369,-60.01716896407829,-8.850118373825403,-76.26691774563187,-18.462278375009944,6. 하락추세 / 일시적 반등
2025-02-27,11490,11423.52198228679,11481.020701215926,-57.498718929136885,-59.51347895709001,2.0147600279531233,-68.86728733790369,-8.850118373825403,9. 분류 미정
2025-02-28,11420,11422.980138858053,11476.500649274005,-53.52051041595223,-58.31488524886246,4.794374832910229,-57.498718929136885,2.0147600279531233,9. 분류 미정
2025-03-04,11190,11387.1370405722,11455.278378957411,-68.1413383852123,-60.28017587613243,-7.861162509079861,-53.52051041595223,4.794374832910229,5. 하락추세 / 추세 확대중
2025-03-05,11180,11355.269803561092,11434.887387923529,-79.6175843624369,-64.14765757339333,-15.46992678904357,-68.1413383852123,-7.861162509079861,5. 하락추세 / 추세 확대중
2025-03-06,11220,11334.459064551693,11418.969803632897,-84.51073908120452,-68.22027387495558,-16.29046520624894,-79.6175843624369,-15.46992678904357,5. 하락추세 / 추세 확대중
2025-03-07,11310,11330.69613154374,11410.897966326756,-80.20183478301624,-70.61658605656771,-9.585248726448526,-84.51073908120452,-16.29046520624894,6. 하락추세 / 일시적 반등
2025-03-10,11210,11312.127495921626,11396.016635487738,-83.88913956611214,-73.2710967584766,-10.618042807635533,-80.20183478301624,-9.585248726448526,5. 하락추세 / 추세 확대중
