Sector	Code	Name	ChagesRatio	Marcap	Amount	MACD
미디어	067160	SOOP	0.7	10023	32	1. 상승 추세 / 추세 확대중
미디어	034120	SBS	0.37	4999	21	1. 상승 추세 / 추세 확대중
미용기기	251970	펌텍코리아	-0.53	6919	14	2. 상승 추세 / 눌림목
미용기기	336570	원텍	-2.92	8988	54	1. 상승 추세 / 추세 확대중
미용기기	335890	비올	-5.14	5836	99	2. 상승 추세 / 눌림목
바이오/제약/신약개발	256940	킵스파마	11.84	3165	40	1. 상승 추세 / 추세 확대중
바이오/제약/신약개발	308430	셀비온	6.2	2294	11	1. 상승 추세 / 추세 확대중
바이오/제약/신약개발	092040	아미코젠	4.43	2459	17	2. 상승 추세 / 눌림목
바이오/제약/신약개발	086900	메디톡스	2.55	12684	56	2. 상승 추세 / 눌림목
바이오/제약/신약개발	206650	유바이오로직스	2.35	4761	10	2. 상승 추세 / 눌림목
바이오/제약/신약개발	003090	대웅	2.0	16454	65	1. 상승 추세 / 추세 확대중
바이오/제약/신약개발	214450	파마리서치	1.37	51286	229	1. 상승 추세 / 추세 확대중
바이오/제약/신약개발	302440	SK바이오사이언스	1.21	36480	30	1. 상승 추세 / 추세 확대중
바이오/제약/신약개발	005690	파미셀	1.1	7232	30	2. 상승 추세 / 눌림목
바이오/제약/신약개발	006280	녹십자	0.78	15157	25	1. 상승 추세 / 추세 확대중
바이오/제약/신약개발	378800	샤페론	0.67	1079	57	1. 상승 추세 / 추세 확대중
바이오/제약/신약개발	068760	셀트리온제약	0.51	21446	20	1. 상승 추세 / 추세 확대중
바이오/제약/신약개발	041910	폴라리스AI파마	0.46	1157	35	1. 상승 추세 / 추세 확대중
바이오/제약/신약개발	140410	메지온	0.38	11837	32	2. 상승 추세 / 눌림목
바이오/제약/신약개발	067080	대화제약	0.25	3058	20	2. 상승 추세 / 눌림목
바이오/제약/신약개발	200670	휴메딕스	0.19	6041	22	2. 상승 추세 / 눌림목
바이오/제약/신약개발	330350	위더스제약	-0.13	1050	36	2. 상승 추세 / 눌림목
바이오/제약/신약개발	237690	에스티팜	-1.64	15678	58	2. 상승 추세 / 눌림목
바이오/제약/신약개발	053030	바이넥스	-2.5	5709	57	2. 상승 추세 / 눌림목
바이오/제약/신약개발	082270	젬백스	-2.63	21324	79	2. 상승 추세 / 눌림목
바이오/제약/신약개발	141080	리가켐바이오	-2.7	41076	280	2. 상승 추세 / 눌림목
바이오/제약/신약개발	069620	대웅제약	-3.26	18805	108	1. 상승 추세 / 추세 확대중
바이오/제약/신약개발	019170	신풍제약	-4.67	6072	159	2. 상승 추세 / 눌림목
바이오/제약/신약개발	298380	에이비엘바이오	-5.33	37318	653	2. 상승 추세 / 눌림목
바이오/제약/신약개발	382150	온코크로스	-5.35	1602	73	2. 상승 추세 / 눌림목
바이오/제약/신약개발	338840	와이바이오로직스	-6.04	1370	13	2. 상승 추세 / 눌림목
바이오/제약/신약개발	358570	지아이이노베이션	-6.22	11189	141	2. 상승 추세 / 눌림목
바이오/제약/신약개발	011000	진원생명과학	-7.52	2636	57	2. 상승 추세 / 눌림목
바이오/제약/신약개발	299660	셀리드	-7.52	1597	88	2. 상승 추세 / 눌림목
바이오/제약/신약개발	307750	국전약품	-7.55	2076	57	2. 상승 추세 / 눌림목
바이오/제약/신약개발	256840	한국비엔씨	-7.64	3761	103	1. 상승 추세 / 추세 확대중
바이오/제약/신약개발	226950	올릭스	-8.66	10362	323	2. 상승 추세 / 눌림목
바이오/제약/신약개발	138610	나이벡	-11.08	3425	116	2. 상승 추세 / 눌림목
반도체	131970	두산테스나	0.0	5363	35	1. 상승 추세 / 추세 확대중
반도체 소재	064760	티씨케이	5.94	10670	16	1. 상승 추세 / 추세 확대중
반도체 장비	183300	코미코	7.23	6276	52	1. 상승 추세 / 추세 확대중
반도체 장비	059090	미코	6.29	4544	26	2. 상승 추세 / 눌림목
반도체 장비	003160	디아이	5.36	4445	66	1. 상승 추세 / 추세 확대중
반도체 장비	083450	GST	4.53	3475	22	1. 상승 추세 / 추세 확대중
반도체 장비	042700	한미반도체	3.5	80286	443	2. 상승 추세 / 눌림목
반도체 장비	098460	고영	3.03	10936	142	2. 상승 추세 / 눌림목
반도체 장비	039030	이오테크닉스	1.93	18343	95	2. 상승 추세 / 눌림목
반도체 장비	140860	파크시스템스	0.19	18138	34	1. 상승 추세 / 추세 확대중
반도체 장비	370090	퓨런티어	-2.59	1605	15	2. 상승 추세 / 눌림목
방위산업	003570	SNT다이내믹스	5.35	15229	26	1. 상승 추세 / 추세 확대중
방위산업	047810	한국항공우주	4.06	84218	863	2. 상승 추세 / 눌림목
방위산업	005870	휴니드	3.56	1229	13	1. 상승 추세 / 추세 확대중
방위산업	099320	쎄트렉아이	2.42	5322	12	2. 상승 추세 / 눌림목
방위산업	012450	한화에어로스페이스	1.2	395869	881	2. 상승 추세 / 눌림목
방위산업	079550	LIG넥스원	1.01	98670	307	1. 상승 추세 / 추세 확대중
보험	000810	삼성화재	9.66	193937	280	1. 상승 추세 / 추세 확대중
보험	032830	삼성생명	8.91	215600	351	1. 상승 추세 / 추세 확대중
보험	031210	서울보증보험	7.14	25973	101	1. 상승 추세 / 추세 확대중
보험	000370	한화손해보험	6.59	5650	20	1. 상승 추세 / 추세 확대중
보험	088350	한화생명	5.84	26620	39	1. 상승 추세 / 추세 확대중
보험	005830	DB손해보험	5.49	73207	106	1. 상승 추세 / 추세 확대중
보험	211050	인카금융서비스	5.13	6242	37	1. 상승 추세 / 추세 확대중
보험	001450	현대해상	4.8	22215	58	1. 상승 추세 / 추세 확대중
보험	003690	코리안리	2.48	18410	22	2. 상승 추세 / 눌림목
섬유/의류	298020	효성티앤씨	4.78	10970	17	1. 상승 추세 / 추세 확대중
섬유/의류	000050	경방	2.79	2154	28	2. 상승 추세 / 눌림목
신재생에너지	448280	에코아이	6.48	3123	47	2. 상승 추세 / 눌림목
신재생에너지	009830	한화솔루션	5.69	54919	945	2. 상승 추세 / 눌림목
신재생에너지	011930	신성이엔지	4.27	3163	46	1. 상승 추세 / 추세 확대중
신재생에너지	100840	SNT에너지	2.82	9058	42	1. 상승 추세 / 추세 확대중
신재생에너지	017860	DS단석	2.21	4475	18	1. 상승 추세 / 추세 확대중
신재생에너지	389260	대명에너지	1.05	4109	68	1. 상승 추세 / 추세 확대중
신재생에너지	475150	SK이터닉스	0.97	7189	158	2. 상승 추세 / 눌림목
신재생에너지	336260	두산퓨얼셀	0.95	11867	51	1. 상승 추세 / 추세 확대중
신재생에너지	322000	HD현대에너지솔루션	0.19	6048	459	1. 상승 추세 / 추세 확대중
신재생에너지	112610	씨에스윈드	-1.3	21423	291	1. 상승 추세 / 추세 확대중
엔터테인먼트	035760	CJ ENM	7.45	14188	66	1. 상승 추세 / 추세 확대중
엔터테인먼트	036420	콘텐트리중앙	6.22	2410	11	1. 상승 추세 / 추세 확대중
엔터테인먼트	079160	CJ CGV	5.13	8088	11	1. 상승 추세 / 추세 확대중
엔터테인먼트	352820	하이브	3.31	117250	384	2. 상승 추세 / 눌림목
엔터테인먼트	037270	YG PLUS	3.11	4110	48	1. 상승 추세 / 추세 확대중
엔터테인먼트	253450	스튜디오드래곤	3.11	14939	64	1. 상승 추세 / 추세 확대중
엔터테인먼트	376300	디어유	1.52	12415	61	2. 상승 추세 / 눌림목
엔터테인먼트	207760	미스터블루	1.46	1355	404	1. 상승 추세 / 추세 확대중
엔터테인먼트	419530	SAMG엔터	1.03	6972	51	2. 상승 추세 / 눌림목
엔터테인먼트	122870	와이지엔터테인먼트	0.0	15924	111	1. 상승 추세 / 추세 확대중
엔터테인먼트	035900	JYP Ent.	-0.26	27360	178	2. 상승 추세 / 눌림목
엔터테인먼트	114090	GKL	-2.86	9148	17	2. 상승 추세 / 눌림목
운송/항공/물류	004140	동방	7.19	1180	12	1. 상승 추세 / 추세 확대중
운송/항공/물류	028670	팬오션	1.21	20073	31	1. 상승 추세 / 추세 확대중
운송/항공/물류	011200	HMM	1.12	231658	371	1. 상승 추세 / 추세 확대중
운송/항공/물류	003490	대한항공	0.66	83954	144	2. 상승 추세 / 눌림목
원자력	034020	두산에너빌리티	4.15	266153	2383	2. 상승 추세 / 눌림목
원자력	105840	우진	2.38	1781	17	2. 상승 추세 / 눌림목
유통	381970	케이카	5.08	7713	19	1. 상승 추세 / 추세 확대중
유통	032350	롯데관광개발	3.46	10075	66	1. 상승 추세 / 추세 확대중
유통	007070	GS리테일	2.94	12992	19	1. 상승 추세 / 추세 확대중
유통	481070	에이유브랜즈	2.74	2909	25	2. 상승 추세 / 눌림목
유통	001250	GS글로벌	1.72	2178	11	1. 상승 추세 / 추세 확대중
유통	001120	LX인터내셔널	1.6	11085	17	1. 상승 추세 / 추세 확대중
유통	499790	GS피앤엘	0.92	6742	63	2. 상승 추세 / 눌림목
유통	204620	글로벌텍스프리	0.0	4252	21	2. 상승 추세 / 눌림목
유통/소매	000680	LS네트웍스	6.75	3029	40	1. 상승 추세 / 추세 확대중
유통/소매	034230	파라다이스	3.12	12214	35	2. 상승 추세 / 눌림목
유통/소매	057050	현대홈쇼핑	2.73	6756	11	1. 상승 추세 / 추세 확대중
유통/소매	069960	현대백화점	2.4	16428	22	2. 상승 추세 / 눌림목
유통/소매	025980	아난티	2.01	6638	138	1. 상승 추세 / 추세 확대중
유통/소매	063170	서울옥션	1.6	1459	26	2. 상승 추세 / 눌림목
유통/소매	008770	호텔신라	-1.3	19368	64	2. 상승 추세 / 눌림목
유틸리티	128820	대성산업	8.54	1838	23	1. 상승 추세 / 추세 확대중
유틸리티	071320	지역난방공사	4.1	9309	35	2. 상승 추세 / 눌림목
유틸리티	004690	삼천리	3.35	5604	30	1. 상승 추세 / 추세 확대중
유틸리티	036460	한국가스공사	1.75	37479	110	2. 상승 추세 / 눌림목
은행	105560	KB금융	7.9	412417	1041	1. 상승 추세 / 추세 확대중
은행	055550	신한지주	7.35	289075	647	1. 상승 추세 / 추세 확대중
은행	086790	하나금융지주	6.43	209272	501	1. 상승 추세 / 추세 확대중
은행	024110	기업은행	2.4	124797	134	1. 상승 추세 / 추세 확대중
은행	323410	카카오뱅크	-1.46	113046	71	2. 상승 추세 / 눌림목
음식료	007160	사조산업	9.97	2745	25	1. 상승 추세 / 추세 확대중
음식료	003380	하림지주	9.26	10438	103	1. 상승 추세 / 추세 확대중
음식료	260970	에스앤디	6.91	2788	68	2. 상승 추세 / 눌림목
음식료	003230	삼양식품	4.44	84445	423	2. 상승 추세 / 눌림목
음식료	026960	동서	3.56	25872	12	1. 상승 추세 / 추세 확대중
음식료	004370	농심	2.96	25364	95	2. 상승 추세 / 눌림목
음식료	005300	롯데칠성	2.69	10211	11	1. 상승 추세 / 추세 확대중
음식료	264900	크라운제과	2.44	1105	12	1. 상승 추세 / 추세 확대중
음식료	000080	하이트진로	1.56	14131	20	1. 상승 추세 / 추세 확대중
음식료	136480	하림	1.28	3345	20	2. 상승 추세 / 눌림목
음식료	006040	동원산업	1.19	18544	12	2. 상승 추세 / 눌림목
음식료	136490	선진	0.49	2423	11	2. 상승 추세 / 눌림목
의류	110790	크리스에프앤씨	10.74	1269	96	1. 상승 추세 / 추세 확대중
의류	093050	LF	8.04	5131	19	1. 상승 추세 / 추세 확대중
의류	009970	영원무역홀딩스	4.77	17167	17	1. 상승 추세 / 추세 확대중
의류	020000	한섬	4.68	3760	25	1. 상승 추세 / 추세 확대중
의류	031430	신세계인터내셔날	3.63	3820	10	2. 상승 추세 / 눌림목
의류	111770	영원무역	3.02	27694	19	2. 상승 추세 / 눌림목
의류	383220	F&F	0.54	28806	16	2. 상승 추세 / 눌림목
의류	036620	감성코퍼레이션	0.19	4867	31	2. 상승 추세 / 눌림목
의류	194370	제이에스코퍼레이션	-0.58	3301	21	2. 상승 추세 / 눌림목
이차전지 소재	452450	피아이이	0.59	3081	52	2. 상승 추세 / 눌림목
이차전지 소재	336370	솔루스첨단소재	-4.73	6495	46	1. 상승 추세 / 추세 확대중
이차전지 장비	107640	한중엔시에스	3.44	2463	15	2. 상승 추세 / 눌림목
이차전지 장비	290670	대보마그네틱	-3.58	1693	79	1. 상승 추세 / 추세 확대중
자동차 부품	007860	서연	7.55	2434	177	1. 상승 추세 / 추세 확대중
자동차 부품	038110	에코플라스틱	3.57	1257	18	1. 상승 추세 / 추세 확대중
자동차 부품	437730	삼현	3.23	4343	12	2. 상승 추세 / 눌림목
자동차 부품	010100	한국무브넥스	2.84	1320	10	1. 상승 추세 / 추세 확대중
자동차 부품	015750	성우하이텍	2.74	4456	10	1. 상승 추세 / 추세 확대중
