Date,Code,Name,MarketCap,Price,Sales (2024),OpIncome (2024),NetIncome (2024),Sales (2025),OpIncome (2025),NetIncome (2025),FY-PER,FY-PBR,FY-ROE,FY-SalesGrowth,FY-OpGrowth,FY-NetGrowth,DivYield,DivPayout
2025-4-22,271560,오리온,46929,121000,31043.0,5436.0,5436.0,33480.0,5937.0,,10.56,1.26,12.45,7.85,9.22,-13.69,2.07,18.84
2025-4-22,298040,효성중공업,44571,469000,48950.0,3625.0,3625.0,54493.0,5000.0,,13.99,2.18,15.97,11.32,37.93,47.47,1.07,20.94
2025-4-22,005940,NH투자증권,44014,13820,20120.0,9011.0,9011.0,21199.0,9858.0,,6.32,0.56,9.14,5.36,9.4,9.64,6.87,48.08
2025-4-22,000720,현대건설,43150,38650,326703.0,-12634.0,-12634.0,304910.0,9605.0,,7.09,0.51,7.38,-6.67,-176.03,-202.95,1.55,-40.0
2025-4-22,241560,두산밥캣,42823,44300,85512.0,8714.0,8714.0,88169.0,8221.0,,7.62,0.61,8.17,3.11,-5.66,-0.44,3.61,28.47
2025-4-22,034220,LG디스플레이,40800,8150,266153.0,-5606.0,-5606.0,261860.0,5562.0,,-14.03,0.64,-4.51,-1.61,-199.22,-89.25,,
2025-4-22,016360,삼성증권,40631,47200,22398.0,12058.0,12058.0,22163.0,11537.0,,4.74,0.53,11.65,-1.05,-4.32,-1.21,7.42,34.76
2025-4-22,009830,한화솔루션,40222,23600,123940.0,-3002.0,-3002.0,137438.0,5548.0,,-64.13,0.42,-0.67,10.89,-284.81,-97.85,1.27,-3.73
2025-4-22,377300,카카오페이,40067,30200,7662.0,-575.0,-575.0,8891.0,106.0,,87.79,2.13,2.46,16.04,-118.43,-334.88,,
2025-4-22,071050,한국금융지주,39788,73700,37361.0,11997.0,11997.0,40120.0,13150.0,,4.18,0.43,10.84,7.38,9.61,4.72,5.4,23.57
2025-4-22,006260,LS,38865,118400,275447.0,10877.0,10729.0,288730.0,10789.0,,10.62,0.74,7.45,4.82,-0.81,26.72,1.39,22.39
2025-4-22,028050,삼성E&A,37298,18930,99666.0,9716.0,9716.0,96827.0,7439.0,,6.22,0.79,13.35,-2.85,-23.44,-12.26,3.49,17.09
2025-4-22,251270,넷마블,37131,43250,26638.0,2156.0,2156.0,27185.0,2185.0,,22.67,0.64,3.04,2.05,1.35,4996.88,0.96,139.93
2025-4-22,011790,SKC,36883,95900,17216.0,-2768.0,-2768.0,18504.0,-1045.0,,-19.37,3.14,-18.03,7.48,-62.25,-53.46,,
2025-4-22,097950,CJ제일제당,35828,241000,293591.0,15530.0,15530.0,303338.0,16287.0,,7.54,0.48,6.53,3.32,4.87,116.39,2.49,66.33
2025-4-22,036460,한국가스공사,34340,37300,383887.0,30034.0,30034.0,371971.0,25681.0,,3.46,0.29,8.88,-3.1,-14.49,-12.98,3.9,11.71
2025-4-22,078930,GS,34239,37500,252975.0,30602.0,30602.0,251962.0,30049.0,,4.79,0.25,5.23,-0.4,-1.81,13.99,7.2,45.09
2025-4-22,175330,JB금융지주,34147,17890,36358.0,9061.0,9061.0,36440.0,9444.0,,5.02,0.57,11.9,0.23,4.23,1.96,5.56,28.68
2025-4-22,035250,강원랜드,33567,15860,14269.0,2858.0,2858.0,14687.0,2995.0,,9.81,0.8,8.76,2.93,4.79,-27.95,7.38,54.78
2025-4-22,011070,LG이노텍,33216,138600,212008.0,7060.0,7060.0,211745.0,6704.0,,7.26,0.59,8.26,-0.12,-5.04,0.58,1.51,11.01
2025-4-22,001040,CJ,33174,114400,436467.0,25475.0,25475.0,455179.0,29984.0,,10.91,0.69,6.65,4.29,17.7,436.97,2.62,106.5
2025-4-22,000880,한화,32906,44700,556468.0,24161.0,24161.0,624986.0,33439.0,,5.51,0.38,7.08,12.31,38.4,16.08,1.79,10.11
2025-4-22,307950,현대오토에버,32689,118500,37136.0,2244.0,2244.0,40956.0,2502.0,,16.83,1.73,10.78,10.29,11.5,12.61,1.5,28.58
2025-4-22,138930,BNK금융지주,32315,10340,69490.0,8759.0,8759.0,69466.0,10319.0,,4.04,0.29,7.43,-0.03,17.81,12.39,6.29,28.68
2025-4-22,128940,한미약품,30650,238000,14955.0,2162.0,2162.0,16118.0,2326.0,,21.36,2.43,12.44,7.78,7.59,8.9,0.53,13.2
2025-4-22,011780,금호석유화학,30428,116500,71550.0,2728.0,2728.0,77874.0,3687.0,,8.92,0.54,6.25,8.84,35.15,11.22,1.89,19.43
2025-4-22,302440,SK바이오사이언스,30281,38700,2675.0,-1384.0,-1384.0,6340.0,-860.0,,-45.96,1.66,-3.64,137.01,-37.86,21.76,,
2025-4-22,004020,현대제철,30225,23300,232261.0,1595.0,1595.0,232356.0,4548.0,,17.72,0.16,0.92,0.04,185.14,1875.0,3.22,-862.07
2025-4-22,039490,키움증권,29567,126300,18459.0,10982.0,10982.0,18744.0,11203.0,,4.06,0.54,14.54,1.54,2.01,1.93,5.94,25.59
2025-4-22,036570,엔씨소프트,29127,135300,15781.0,-1092.0,-1092.0,15878.0,676.0,,19.1,0.72,4.86,0.61,-161.9,64.08,1.08,34.02
2025-4-22,017800,현대엘리베이터,27091,72000,28853.0,2257.0,2257.0,28649.0,2750.0,,14.04,2.24,16.83,-0.71,21.84,10.83,7.64,117.37
2025-4-22,278470,에이피알,26400,70600,7228.0,1227.0,1227.0,9783.0,1728.0,,18.54,5.19,36.89,35.35,40.83,32.25,,
2025-4-22,383220,F&F,26202,67400,18960.0,4507.0,4507.0,19813.0,4731.0,,6.93,1.33,21.56,4.5,4.97,4.16,2.52,18.07
2025-4-22,011170,롯데케미칼,25622,62000,204304.0,-8941.0,-8941.0,208536.0,-2221.0,,-5.97,0.19,-3.17,2.07,-75.16,-73.76,3.23,-5.0
